,OTUID,Occ.unfil,Domain,Phylum,Class,Order,Family,Genus,Species,Family.ed,Genus.ed
297,KP717091.1.1227,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,Moraxellaceae,Acinetobacter
345,LNNI01000005.225118.226745,0.050632911,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
15,ADHG01000001.652476.654027,0.037974684,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured bacterium,Lactobacillaceae,Lactobacillus
30,APQB01000020.493579.495105,0.037974684,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA,Moraxellaceae,Acinetobacter
40,AY923146.1.1555,0.037974684,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA,Carnobacteriaceae,Granulicatella
43,AYZN01000032.115.1658,0.037974684,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured bacterium,Lactobacillaceae,Lactobacillus
111,FJ439860.1.1500,0.037974684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,uncultured bacterium,Xanthobacteraceae,Bradyrhizobium
122,FJ957714.1.1490,0.037974684,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,uncultured bacterium,Bacillaceae,Bacillus
126,FN430384.1.1490,0.037974684,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillaceae,Bacillus
187,GQ451285.1.1488,0.037974684,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Sphingobacteriaceae,Pedobacter
190,GQ849009.1.1255,0.037974684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA,Rhizobiaceae,Ochrobactrum
225,JF808983.1.1512,0.037974684,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Mitsuaria,NA,Burkholderiaceae,Mitsuaria
238,JN868839.1.1481,0.037974684,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA,Caulobacteraceae,Brevundimonas
239,JN868968.1.1503,0.037974684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,uncultured bacterium,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
262,KC554087.1.1566,0.037974684,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,uncultured bacterium,Pseudonocardiaceae,Pseudonocardia
285,KJ548930.1.1501,0.037974684,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,uncultured bacterium,Moraxellaceae,Acinetobacter
287,KJ848552.1.1469,0.037974684,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis subsp. hominis,Staphylococcaceae,Staphylococcus
312,KU057031.1.1483,0.037974684,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,NA,Enterobacteriaceae,Serratia
320,KX146486.1.1489,0.037974684,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Arachidicoccus,NA,Chitinophagaceae,Arachidicoccus
343,LMOH01000001.656692.658176,0.037974684,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA,Rhizobiaceae,Aureimonas
5,AB365066.1.1533,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,uncultured bacterium,Moraxellaceae,Acinetobacter
28,ANAM01000008.400257.401788,0.025316456,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,NA,Staphylococcaceae,Salinicoccus
36,AY491606.1.1607,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,uncultured,uncultured bacterium,Burkholderiaceae,f_Burkholderiaceae
42,AYSH01000012.3236.4783,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,NA,Enterococcaceae,Vagococcus
45,BAYE01000050.208.1722,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
55,CP002568.631832.633307,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,NA,NA,Stappiaceae,f_Stappiaceae
56,CP006941.13451.15024,0.025316456,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA,Paenibacillaceae,Paenibacillus
64,CP019158.175094.176630,0.025316456,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,Sphingobacteriaceae,Sphingobacterium
67,CRKN01000054.4139.5702,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pneumoniae,Streptococcaceae,Streptococcus
90,EU132775.1.1340,0.025316456,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium,Solirubrobacteraceae,Solirubrobacter
104,EU834246.1.1456,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Xanthomonadaceae,Stenotrophomonas
125,FN421556.1.1367,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonadaceae,Sphingomonas
131,FPLK01000415.18.1468,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA,Rhodobacteraceae,Rhodobacter
137,FPLL01008779.14.1515,0.025316456,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,uncultured,NA,Sphingobacteriaceae,f_Sphingobacteriaceae
143,FPLP01004968.7.1504,0.025316456,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,NA,Nocardioidaceae,Nocardioides
145,FPLS01000908.14.1501,0.025316456,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,metagenome,Spirosomaceae,Dyadobacter
159,FPLS01042637.11.1526,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Curvibacter,NA,Burkholderiaceae,Curvibacter
169,GBIZ01006467.5355.6826,0.025316456,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Arachis hypogaea var. vulgaris,Arachis hypogaea var. vulgaris,Arachis hypogaea var. vulgaris,Chloroplast,Chloroplast
170,GBTV01025760.129.1889,0.025316456,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Azolla filiculoides,Chloroplast
185,GQ358877.1.1520,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,Enterococcaceae,Enterococcus
200,HAFQ01034884.73.1567,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Spumella sp. AR4D6,Pseudomonadaceae,Pseudomonas
206,HK555525.1.1552,0.025316456,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,NA,Bacillaceae,Anaerobacillus
207,HK555632.10.1532,0.025316456,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacteriaceae,Bifidobacterium
216,HQ218547.1.1480,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,uncultured bacterium,Kaistiaceae,Kaistia
228,JN178192.1.1482,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,uncultured bacterium,Hyphomicrobiaceae,Hyphomicrobium
244,JQ740188.1.1388,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobium etli,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
249,JQNF01000007.278620.280162,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,NA,Carnobacteriaceae,Carnobacterium
256,KC011147.1.1494,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
263,KC554190.1.1550,0.025316456,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,uncultured bacterium,Nocardioidaceae,Nocardioides
267,KC683027.1.1557,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,Trichococcus collinsii,Carnobacteriaceae,Trichococcus
277,KF843021.1.1395,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
289,KM209255.204.1909,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Dickeya,NA,Enterobacteriaceae,Dickeya
305,KR611043.1.1553,0.025316456,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
317,KU588112.1.1213,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonadaceae,Pseudomonas
322,KX431268.1.1495,0.025316456,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Curvibacter,uncultured bacterium,Burkholderiaceae,Curvibacter
324,KX603599.1.1394,0.025316456,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,Lactobacillaceae,Lactobacillus
354,MVOD01000011.1.1496,0.025316456,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,NA,Xanthobacteraceae,Rhodopseudomonas
356,X92159.1.1489,0.025316456,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillaceae,Bacillus
2,AB257635.1.1477,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aureimonas,NA,Rhizobiaceae,Aureimonas
3,AB286567.1.1458,0.012658228,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured bacterium,Haliangiaceae,Haliangium
6,AB374378.1.1507,0.012658228,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured endolithic bacterium,Trueperaceae,Truepera
7,AB479055.1.1550,0.012658228,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,IMCC26134,NA,Opitutaceae,IMCC26134
8,AB511008.1.1436,0.012658228,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium,Bdellovibrionaceae,Bdellovibrio
9,AB630448.1.1379,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,uncultured bacterium,Hyphomonadaceae,SWB02
12,AB696344.1.1371,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium,uncultured bacterium,uncultured bacterium,Chloroplast,Chloroplast
14,ACHB01000006.3599.5109,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA,Sphingobacteriaceae,Sphingobacterium
17,AF060676.1.1515,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Kineosporiales,Kineosporiaceae,NA,NA,Kineosporiaceae,f_Kineosporiaceae
18,AF125876.1.1529,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,Burkholderiaceae,f_Burkholderiaceae
21,AHHC01000023.100357.101878,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,uncultured bacterium,Pseudomonadaceae,Pseudomonas
22,AJ272200.1.1497,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,Enterococcaceae,Enterococcus
25,AJ867748.1.1481,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured bacterium,Acetobacteraceae,f_Acetobacteraceae
26,AM110959.1.1536,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,NA,Pseudoalteromonadaceae,Pseudoalteromonas
31,ASRV01000251.33.1558,0.012658228,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,NA,Clostridiaceae 1,Clostridium sensu stricto 1
33,AY212636.1.1538,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured bacterium,Xanthomonadaceae,Lysobacter
39,AY773954.1.1486,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei,Lactobacillaceae,Lactobacillus
41,AYOD01000070.271.1739,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,Rhizobiaceae,Mesorhizobium
46,BBFW01000391.24.1543,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,NA,Nocardiaceae,Nocardia
47,BBHE01000968.162.1691,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Mycobacteriaceae,Mycobacterium
49,BBPI01000114.335.1824,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonadaceae,Sphingomonas
50,BDEO01000021.506.2023,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,Halomonadaceae,Halomonas
51,CAIC01015143.682.2534,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA,Mitochondria,Mitochondria
54,CP002551.1544045.1545529,0.012658228,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,NA,Methanobacteriaceae,Methanobacterium
58,CP010525.1943855.1945668,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus coagulans,Bacillaceae,Bacillus
60,CP011502.954642.956169,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,NA,Nocardioidaceae,Aeromicrobium
61,CP014226.105426.106962,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA,Halomonadaceae,Halomonas
62,CP015378.146768.148325,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Fictibacillus,NA,Bacillaceae,Fictibacillus
65,CP019619.2704848.2706441,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeriaceae,Listeria
66,CP019619.274057.275664,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeriaceae,Listeria
72,DQ234824.1.1479,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Desmonostoc PCC-7422,NA,Cyanobacteria,Cyanobacteria
74,DQ450748.1.1393,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,uncultured Bacteroidetes bacterium,Chitinophagaceae,Parafilimonas
75,DQ532277.1.1514,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured bacterium,Xanthomonadaceae,Lysobacter
76,DQ532357.1.1511,0.012658228,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Aridibacter,uncultured bacterium,Blastocatellaceae,Aridibacter
81,EF101975.1.1548,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,NA,Xanthomonadaceae,Xanthomonas
82,EF174207.1.1483,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Nostoc PCC-73102,NA,Cyanobacteria,Cyanobacteria
84,EF462370.1.1394,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Azospirillales,Inquilinaceae,Inquilinus,NA,Inquilinaceae,Inquilinus
85,EF515919.1.1425,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,NA,Spirosomaceae,Spirosoma
89,EF530679.1.1498,0.012658228,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,uncultured bacterium,uncultured bacterium,UBA12409,UBA12409
91,EU133748.1.1389,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium,Microscillaceae,f_Microscillaceae
92,EU134538.1.1464,0.012658228,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,NA,NA,Polyangiaceae,f_Polyangiaceae
94,EU458616.1.1401,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,uncultured bacterium,Rikenellaceae,Rikenellaceae RC9 gut group
96,EU560783.1.1502,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
98,EU669180.1.1551,0.012658228,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,NA,Paenibacillaceae,Paenibacillus
102,EU778456.1.1401,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Enterobacteriaceae,Escherichia-Shigella
105,EU881176.1.1524,0.012658228,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,NA,Chthoniobacteraceae,Candidatus Udaeobacter
106,FJ184323.1.1507,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Xanthomonadaceae,Stenotrophomonas
108,FJ192534.1.1444,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonadaceae,Sphingomonas
109,FJ230800.1.1485,0.012658228,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Phormidiaceae,NA,NA,Cyanobacteria,Cyanobacteria
110,FJ429181.1.1484,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonadaceae,Sphingomonas
112,FJ466213.1.1328,0.012658228,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium,uncultured bacterium,uncultured bacterium,OPB56,OPB56
113,FJ542862.1.1481,0.012658228,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,uncultured bacterium,Bdellovibrionaceae,Bdellovibrio
114,FJ560597.1.1476,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
115,FJ624893.1.1487,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Roseiarcus,uncultured bacterium,Beijerinckiaceae,Roseiarcus
116,FJ625353.1.1523,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,Chitinophagaceae,f_Chitinophagaceae
117,FJ625358.1.1509,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,uncultured bacterium,Acidothermaceae,Acidothermus
118,FJ753768.1.1442,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,Enterococcaceae,Enterococcus
119,FJ820431.1.1504,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,uncultured bacterium,Flavobacteriaceae,Flavobacterium
123,FJ975995.1.1358,0.012658228,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,Lactobacillaceae,Lactobacillus
124,FLTE01001368.534.2052,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Janthinobacterium,NA,Burkholderiaceae,Janthinobacterium
129,FOXQ01000003.275613.277143,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,NA,Chitinophagaceae,Parafilimonas
132,FPLL01000633.14.1519,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,NA,Nocardioidaceae,Marmoricola
133,FPLL01000940.11.1474,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,NA,NA,Devosiaceae,f_Devosiaceae
134,FPLL01002138.3.1535,0.012658228,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,uncultured bacterium,Pedosphaeraceae,f_Pedosphaeraceae
135,FPLL01004674.9.1542,0.012658228,Bacteria,Acidobacteria,Subgroup 17,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,Subgroup 17,Subgroup 17
136,FPLL01005221.15.1433,0.012658228,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,metagenome,metagenome,cvE6,cvE6
138,FPLM01003312.11.1536,0.012658228,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,Solirubrobacteraceae,f_Solirubrobacteraceae
144,FPLS01000417.8.1471,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,metagenome,Devosiaceae,Devosia
146,FPLS01006063.9.1545,0.012658228,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,IMCC26134,NA,Opitutaceae,IMCC26134
148,FPLS01013598.11.1522,0.012658228,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,uncultured,metagenome,Solirubrobacteraceae,f_Solirubrobacteraceae
149,FPLS01015607.17.1527,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Verticia,NA,Burkholderiaceae,Verticia
150,FPLS01016483.13.1519,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,NA,Pseudonocardiaceae,Pseudonocardia
151,FPLS01016786.18.1481,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,NA,NA,Devosiaceae,f_Devosiaceae
152,FPLS01021120.11.1480,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,uncultured bacterium,Xanthobacteraceae,f_Xanthobacteraceae
153,FPLS01027059.10.1473,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,NA,Devosiaceae,Devosia
154,FPLS01027209.11.1516,0.012658228,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured bacterium,uncultured bacterium,67-14,67-14
155,FPLS01028421.1.1251,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,metagenome,metagenome,env.OPS 17,env.OPS 17
156,FPLS01031197.11.1541,0.012658228,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA,Haliangiaceae,Haliangium
158,FPLS01038376.19.1499,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Beijerinckiaceae,Microvirga
160,FPLS01048218.16.1552,0.012658228,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,NA,Verrucomicrobiaceae,f_Verrucomicrobiaceae
162,FR749714.1.1492,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured Bacteroidetes bacterium,Chitinophagaceae,f_Chitinophagaceae
177,GEGL01048439.1.1253,0.012658228,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,NA,NA,Micrococcaceae,f_Micrococcaceae
182,GQ113661.1.1352,0.012658228,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,uncultured bacterium,Gemmatimonadaceae,Gemmatirosa
183,GQ264293.1.1466,0.012658228,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA,NS11-12 marine group,NS11-12 marine group
184,GQ264330.1.1482,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA,Acidibacter,Acidibacter
186,GQ388901.1.1482,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Sphingomonadaceae,Sphingomonas
192,GQ889455.1.1362,0.012658228,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Fimbriiglobus,uncultured bacterium,Gemmataceae,Fimbriiglobus
194,GU172177.1.1509,0.012658228,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,uncultured,uncultured bacterium,Gemmataceae,f_Gemmataceae
195,GU437239.1.1463,0.012658228,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,uncultured bacterium,Beijerinckiaceae,Methylobacterium
196,GU553044.1.1341,0.012658228,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured bacterium,Enterobacteriaceae,Escherichia-Shigella
