,OTUID,Occ.fil,Domain,Phylum,Class,Order,Family,Genus,Species,Genus.ed,Family.ed
282,LN610139.1.2752,0.025,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA,Staphylococcus,Staphylococcaceae
290,LT627107.1.1550,0.025,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas rhizophila,Stenotrophomonas,Xanthomonadaceae
292,MDDS01000052.248.1742,0.025,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonas,Sphingomonadaceae
295,MVBC01000034.3.1520,0.025,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Hymenobacter,Hymenobacteraceae
298,X92159.1.1489,0.025,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
4,AB374378.1.1507,0.0125,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera,uncultured endolithic bacterium,Truepera,Trueperaceae
5,AB374388.1.1497,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,NA,Mesorhizobium,Rhizobiaceae
6,AB630448.1.1379,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,uncultured bacterium,SWB02,Hyphomonadaceae
9,AB698691.1.1446,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,NA,Methylobacterium,Beijerinckiaceae
10,AB754179.1.1440,0.0125,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,Anaerovorax,uncultured bacterium,Anaerovorax,Family XIII
12,ADHG01000001.652476.654027,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured bacterium,Lactobacillus,Lactobacillaceae
16,AGFF01000033.3677.5176,0.0125,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,NA,Dietzia,Dietziaceae
17,AJ272200.1.1497,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,Enterococcus,Enterococcaceae
20,AJ506191.1.1548,0.0125,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Sporomusa,uncultured Sporomusa sp.,Sporomusa,Veillonellaceae
22,AM420261.1.1516,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,NA,Granulicatella,Carnobacteriaceae
23,ANAM01000008.400257.401788,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,NA,Salinicoccus,Staphylococcaceae
25,AORL01000003.205.1670,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonas,Sphingomonadaceae
29,ARNI01000005.12.1498,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Dyadobacter,NA,Dyadobacter,Spirosomaceae
31,AY119687.1.1549,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,NA,Macrococcus,Staphylococcaceae
32,AY139002.1.1524,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Herbaspirillum,NA,Herbaspirillum,Burkholderiaceae
33,AY220740.1.1485,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,NA,Roseomonas,Acetobacteraceae
38,AY773134.1.1507,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Comamonas,NA,Comamonas,Burkholderiaceae
39,AY773954.1.1486,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus casei,Lactobacillus,Lactobacillaceae
45,BBFW01000391.24.1543,0.0125,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,NA,Nocardia,Nocardiaceae
47,BBUL01000055.3960.5476,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,NA,Cellvibrio,Cellvibrionaceae
53,CP012507.1793487.1795021,0.0125,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,NA,Kocuria,Micrococcaceae
57,CP019619.2704848.2706441,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria,Listeriaceae
62,DQ404663.1.1486,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,uncultured bacterium,uncultured bacterium,f_env.OPS 17,env.OPS 17
63,DQ450748.1.1393,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Parafilimonas,uncultured Bacteroidetes bacterium,Parafilimonas,Chitinophagaceae
66,DQ493433.1.1449,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,uncultured,NA,f_Caulobacteraceae,Caulobacteraceae
67,DQ532277.1.1514,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,uncultured bacterium,Lysobacter,Xanthomonadaceae
70,DQ855276.1.1474,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobiaceae
72,EF032759.1.1415,0.0125,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae (Subgroup 3),Bryobacter,NA,Bryobacter,Solibacteraceae (Subgroup 3)
75,EF364376.1.1470,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Rhizobiaceae
79,EF683058.1.1498,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,uncultured bacterium,Ferruginibacter,Chitinophagaceae
80,EU132775.1.1340,0.0125,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,uncultured bacterium,Solirubrobacter,Solirubrobacteraceae
81,EU133124.1.1356,0.0125,Bacteria,Actinobacteria,Acidimicrobiia,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,c_Acidimicrobiia,c_Acidimicrobiia
82,EU134492.1.1414,0.0125,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,NA,NA,f_BIrii41,BIrii41
83,EU360966.1.1480,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,Chryseobacterium,Weeksellaceae
84,EU458616.1.1401,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae RC9 gut group,uncultured bacterium,Rikenellaceae RC9 gut group,Rikenellaceae
90,EU778456.1.1401,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,NA,Escherichia-Shigella,Enterobacteriaceae
92,EU800974.1.1502,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium,Legionella,Legionellaceae
94,FJ184323.1.1507,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA,Stenotrophomonas,Xanthomonadaceae
96,FJ466213.1.1328,0.0125,Bacteria,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium,uncultured bacterium,uncultured bacterium,o_OPB56,o_OPB56
97,FJ625358.1.1509,0.0125,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,uncultured bacterium,Acidothermus,Acidothermaceae
99,FJ823914.1.1507,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,uncultured,NA,f_Rhodocyclaceae,Rhodocyclaceae
104,FJ957814.1.1521,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA,Bacillus,Bacillaceae
105,FJ975995.1.1358,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA,Lactobacillus,Lactobacillaceae
107,FM872738.1.1487,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,NA,Burkholderia-Caballeronia-Paraburkholderia,Burkholderiaceae
108,FN377717.1.1523,0.0125,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,NA,Paeniglutamicibacter,Micrococcaceae
109,FN430384.1.1490,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus,Bacillus,Bacillaceae
113,FNVY01000003.243232.244769,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA,Enterococcus,Enterococcaceae
116,FPLK01000415.18.1468,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,NA,Rhodobacter,Rhodobacteraceae
117,FPLL01000300.16.1523,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA,NA,f_Burkholderiaceae,Burkholderiaceae
118,FPLL01000940.11.1474,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,NA,NA,f_Devosiaceae,Devosiaceae
119,FPLL01002568.9.1524,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,TRA3-20,metagenome,metagenome,f_TRA3-20,TRA3-20
120,FPLL01005505.14.1532,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,metagenome,Steroidobacter,Steroidobacteraceae
121,FPLL01007029.10.1477,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonas,Sphingomonadaceae
122,FPLL01007102.10.1478,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,uncultured,NA,NA,o_Rhizobiales,o_Rhizobiales
124,FPLM01000559.10.1453,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,NA,Amaricoccus,Rhodobacteraceae
125,FPLM01003094.15.1529,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ramlibacter,NA,Ramlibacter,Burkholderiaceae
126,FPLM01003312.11.1536,0.0125,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA,NA,f_Solirubrobacteraceae,Solirubrobacteraceae
130,FPLS01000417.8.1471,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,metagenome,Devosia,Devosiaceae
131,FPLS01002836.14.1480,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,metagenome,Sphingobium,Sphingomonadaceae
132,FPLS01003342.25.1528,0.0125,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible genus 04,uncultured bacterium,possible genus 04,Fibrobacteraceae
133,FPLS01007672.18.1477,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,metagenome,Phenylobacterium,Caulobacteraceae
134,FPLS01009273.17.1481,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,uncultured,metagenome,f_Xanthobacteraceae,Xanthobacteraceae
135,FPLS01009478.18.1542,0.0125,Bacteria,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,metagenome,metagenome,f_67-14,67-14
136,FPLS01015607.17.1527,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Verticia,NA,Verticia,Burkholderiaceae
137,FPLS01031197.11.1541,0.0125,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA,Haliangium,Haliangiaceae
139,FPLS01034889.11.1536,0.0125,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,metagenome,Chthoniobacter,Chthoniobacteraceae
140,FPLS01038376.19.1499,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA,Microvirga,Beijerinckiaceae
142,FPLS01059814.15.1488,0.0125,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmata,metagenome,Gemmata,Gemmataceae
143,FPLS01062338.16.1535,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylotenera,NA,Methylotenera,Methylophilaceae
145,FR749714.1.1492,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured Bacteroidetes bacterium,f_Chitinophagaceae,Chitinophagaceae
146,FR749808.1.1521,0.0125,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA,Haliangium,Haliangiaceae
148,GQ264200.1.1471,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured bacterium,Devosia,Devosiaceae
149,GQ264293.1.1466,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,NA,NA,f_NS11-12 marine group,NS11-12 marine group
150,GQ264313.1.1452,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,f_Chitinophagaceae,Chitinophagaceae
151,GQ264330.1.1482,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,NA,Acidibacter,o_Gammaproteobacteria Incertae Sedis
152,GQ280051.1.1425,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
153,GQ379541.1.1220,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium,uncultured bacterium,Methylobacterium,Beijerinckiaceae
154,GQ388901.1.1482,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Sphingomonas,Sphingomonadaceae
155,GQ396917.1.1488,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured bacterium,f_Saprospiraceae,Saprospiraceae
156,GQ451285.1.1488,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA,Pedobacter,Sphingobacteriaceae
158,GQ500892.1.1448,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured bacterium,f_Rhizobiales Incertae Sedis,Rhizobiales Incertae Sedis
161,GU208498.1.1454,0.0125,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,uncultured prokaryote,Haliangium,Haliangiaceae
170,HG798473.1.1438,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillus,Lactobacillaceae
172,HK555632.10.1532,0.0125,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA,Bifidobacterium,Bifidobacteriaceae
175,HM187227.1.1477,0.0125,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,c_Subgroup 6,c_Subgroup 6
176,HM241063.1.1366,0.0125,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,uncultured bacterium,uncultured bacterium,o_Gaiellales,o_Gaiellales
178,HQ014636.1.1456,0.0125,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,uncultured bacterium,f_A4b,A4b
179,HQ119202.1.1480,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,uncultured,uncultured bacterium,f_Acetobacteraceae,Acetobacteraceae
183,HQ166699.1.1541,0.0125,Bacteria,Acidobacteria,Subgroup 6,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,c_Subgroup 6,c_Subgroup 6
184,HQ190384.1.1493,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Microscillaceae,uncultured,uncultured bacterium,f_Microscillaceae,Microscillaceae
186,HQ397140.1.1483,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus Amoebophilus,NA,Candidatus Amoebophilus,Amoebophilaceae
188,HQ599031.1.1456,0.0125,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,NA,Granulicella,Acidobacteriaceae (Subgroup 1)
190,JDSS02000024.197630.199203,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Candidatus Accumulibacter,Candidatus Accumulibacter sp. SK-01,Candidatus Accumulibacter,Rhodocyclaceae
191,JF167832.1.1330,0.0125,Bacteria,FBP,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,p_FBP,p_FBP
192,JF180716.1.1357,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,uncultured bacterium,f_Chitinophagaceae,Chitinophagaceae
193,JF189310.1.1369,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,uncultured bacterium,Streptococcus,Streptococcaceae
195,JF429110.1.1493,0.0125,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,Jatrophihabitans,NA,Jatrophihabitans,Frankiaceae
196,JF495287.1.1459,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,uncultured bacterium,f_Methyloligellaceae,Methyloligellaceae
197,JF733438.1.1480,0.0125,Bacteria,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,Aquisphaera,uncultured planctomycete,Aquisphaera,Isosphaeraceae
198,JN023131.1.1435,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Sphingomonas,Sphingomonadaceae
201,JN628990.1.1569,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus,Enterococcaceae
202,JN644571.1.1553,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,NA,Aerococcus,Aerococcaceae
204,JN802263.1.1452,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,uncultured bacterium,Altererythrobacter,Sphingomonadaceae
209,JN869046.1.1544,0.0125,Bacteria,Acidobacteria,Subgroup 17,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,c_Subgroup 17,c_Subgroup 17
210,JN869191.1.1500,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,metagenome,Hyphomicrobium,Hyphomicrobiaceae
212,JPLY01000001.145690.147219,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA,Chryseobacterium,Weeksellaceae
213,JQ805719.1.1575,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,uncultured bacterium,Enterococcus,Enterococcaceae
214,JQ861298.1.1466,0.0125,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Granulicella,NA,Granulicella,Acidobacteriaceae (Subgroup 1)
218,JX559243.1.1444,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA,Sphingomonas,Sphingomonadaceae
220,KC011109.1.1478,0.0125,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,NA,Hymenobacter,Hymenobacteraceae
221,KC202800.1.1427,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus durans,Enterococcus,Enterococcaceae
222,KC333895.1.1233,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus,Enterococcaceae
224,KC665708.1.1507,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,NA,Aeromonas,Aeromonadaceae
227,KC683139.1.1516,0.0125,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Blastocatella,NA,Blastocatella,Blastocatellaceae
231,KF037529.1.1462,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Sphingomonas,Sphingomonadaceae
234,KF099744.1.1371,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,uncultured bacterium,Staphylococcus,Staphylococcaceae
236,KF105341.1.1391,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured bacterium,Lactobacillus,Lactobacillaceae
237,KF571466.1.1425,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,Listeria,Listeriaceae
239,KF712847.1.1506,0.0125,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,NA,NA,f_Verrucomicrobiaceae,Verrucomicrobiaceae
241,KF975562.1.1515,0.0125,Bacteria,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,Blastocatella,uncultured soil bacterium,Blastocatella,Blastocatellaceae
242,KH179773.1.1478,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,NA,o_Bacillales,o_Bacillales
245,KJ600988.1.1454,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,uncultured,uncultured bacterium,f_Rhizobiales Incertae Sedis,Rhizobiales Incertae Sedis
249,KM819156.1.1538,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillus,Lactobacillaceae
250,KM819157.1.1526,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,uncultured Bacillus sp.,Lactobacillus,Lactobacillaceae
253,KP986565.1.1538,0.0125,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA,Microbacterium,Microbacteriaceae
256,KR088716.1.1442,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,NA,Marinococcus,Bacillaceae
258,KT350432.1.1533,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Noviherbaspirillum,NA,Noviherbaspirillum,Burkholderiaceae
260,KU366365.1.1545,0.0125,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus fermentum,Lactobacillus,Lactobacillaceae
261,KU588112.1.1213,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
262,KU713410.1.1401,0.0125,Bacteria,Verrucomicrobia,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,LD29,uncultured bacterium,LD29,Chthoniobacteraceae
266,KX508879.1.1497,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,uncultured bacterium,Acinetobacter,Moraxellaceae
267,KY117512.1.1474,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Rhizorhapis,NA,Rhizorhapis,Sphingomonadaceae
268,KY445705.1.1510,0.0125,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp.,Mycobacterium,Mycobacteriaceae
274,LC027464.1.1465,0.0125,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae (Subgroup 1),NA,NA,f_Acidobacteriaceae (Subgroup 1),Acidobacteriaceae (Subgroup 1)
277,LK985387.1.1470,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales Incertae Sedis,Phreatobacter,NA,Phreatobacter,Rhizobiales Incertae Sedis
280,LMQC01000001.4000.5527,0.0125,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Geodermatophilaceae,Geodermatophilus,NA,Geodermatophilus,Geodermatophilaceae
281,LN570499.1.1323,0.0125,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,NA,NA,f_Acetobacteraceae,Acetobacteraceae
283,LN833517.1.1512,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured Escherichia sp.,Escherichia-Shigella,Enterobacteriaceae
284,LN833518.1.1522,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,uncultured Escherichia sp.,Escherichia-Shigella,Enterobacteriaceae
285,LNNI01000005.225118.226745,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA,Pseudomonas,Pseudomonadaceae
286,LQOW01000023.119.1666,0.0125,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,NA,Mycobacterium,Mycobacteriaceae
287,LQXD01000001.79025.80958,0.0125,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Anaerobacillus,NA,Anaerobacillus,Bacillaceae
291,LXTQ01000003.3712.5257,0.0125,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,NA,NA,f_Methylophilaceae,Methylophilaceae
